timestamp,solar_kw,wind_kw,demand_kw,battery_soc_pct,grid_import_kw
2026-08-22T09:00:00,61.11,21.05,83.57,49.3,0.0
2026-08-22T10:00:00,95.31,7.45,89.37,56.0,0.0
2026-08-22T11:00:00,124.43,8.14,86.13,79.2,0.0
2026-08-22T12:00:00,136.0,20.47,81.12,100.0,0.0
2026-08-22T13:00:00,124.43,8.02,83.89,100.0,0.0
2026-08-22T14:00:00,95.31,10.36,85.69,100.0,0.0
2026-08-22T15:00:00,61.11,7.61,85.89,91.4,0.0
2026-08-22T16:00:00,32.8,21.05,86.78,75.0,0.0
2026-08-22T17:00:00,14.74,15.53,116.24,50.0,35.96
2026-08-22T18:00:00,5.54,15.57,115.99,25.0,44.87
2026-08-22T19:00:00,0.0,10.06,126.13,0.0,66.17
2026-08-22T20:00:00,0.0,13.97,123.38,0.0,109.41
2026-08-22T21:00:00,0.0,23.83,80.91,0.0,57.08
2026-08-22T22:00:00,0.0,24.31,82.33,0.0,58.02
2026-08-22T23:00:00,0.0,13.25,38.43,0.0,25.19
2026-08-23T00:00:00,0.0,19.76,38.29,0.0,18.53
2026-08-23T01:00:00,0.0,12.27,35.32,0.0,23.05
2026-08-23T02:00:00,0.0,15.73,39.1,0.0,23.36
2026-08-23T03:00:00,0.0,21.1,36.87,0.0,15.77
2026-08-23T04:00:00,0.0,24.92,37.72,0.0,12.8
2026-08-23T05:00:00,0.0,18.0,39.79,0.0,21.79
2026-08-23T06:00:00,6.2,17.29,36.44,0.0,12.96
2026-08-23T07:00:00,16.47,15.41,55.22,0.0,23.34
2026-08-23T08:00:00,36.66,19.95,72.57,0.0,15.96
2026-08-23T09:00:00,68.3,11.07,91.53,0.0,12.16
2026-08-23T10:00:00,106.52,8.51,83.89,15.6,0.0
2026-08-23T11:00:00,139.07,18.17,80.27,40.6,0.0
2026-08-23T12:00:00,152.0,14.11,78.73,65.6,0.0
2026-08-23T13:00:00,139.07,16.82,88.6,90.6,0.0
2026-08-23T14:00:00,106.52,15.38,90.11,100.0,0.0
2026-08-23T15:00:00,68.3,11.46,87.66,96.1,0.0
2026-08-23T16:00:00,36.66,15.71,86.09,79.2,0.0
2026-08-23T17:00:00,16.47,13.62,131.8,54.2,51.71
2026-08-23T18:00:00,6.2,21.0,124.48,29.2,47.28
2026-08-23T19:00:00,0.0,16.76,116.21,4.2,49.45
2026-08-23T20:00:00,0.0,27.72,127.94,0.0,91.83
2026-08-23T21:00:00,0.0,34.78,84.12,0.0,49.34
2026-08-23T22:00:00,0.0,17.64,78.54,0.0,60.9
2026-08-23T23:00:00,0.0,26.93,35.1,0.0,8.17
2026-08-24T00:00:00,0.0,19.35,38.67,0.0,19.32
2026-08-24T01:00:00,0.0,22.7,36.29,0.0,13.59
2026-08-24T02:00:00,0.0,17.71,39.45,0.0,21.74
2026-08-24T03:00:00,0.0,20.38,40.53,0.0,20.16
2026-08-24T04:00:00,0.0,22.76,35.97,0.0,13.21
2026-08-24T05:00:00,0.0,20.47,36.65,0.0,16.18
2026-08-24T06:00:00,3.91,8.79,37.58,0.0,24.87
2026-08-24T07:00:00,10.4,15.04,56.82,0.0,31.37
2026-08-24T08:00:00,23.15,21.64,72.05,0.0,27.26
2026-08-24T09:00:00,43.14,12.47,81.34,0.0,25.73
2026-08-24T10:00:00,67.28,7.97,80.26,0.0,5.01
2026-08-24T11:00:00,87.83,16.68,78.36,13.1,0.0
2026-08-24T12:00:00,96.0,19.29,80.68,30.4,0.0
2026-08-24T13:00:00,87.83,10.98,80.18,39.7,0.0
2026-08-24T14:00:00,67.28,14.8,86.49,37.5,0.0
2026-08-24T15:00:00,43.14,11.54,79.91,24.9,0.0
2026-08-24T16:00:00,23.15,19.71,91.12,0.7,0.0
2026-08-24T17:00:00,10.4,16.62,129.8,0.0,101.29
2026-08-24T18:00:00,3.91,13.62,132.42,0.0,114.88
2026-08-24T19:00:00,0.0,21.11,128.61,0.0,107.5
2026-08-24T20:00:00,0.0,24.28,122.96,0.0,98.68
2026-08-24T21:00:00,0.0,20.29,79.76,0.0,59.48
2026-08-24T22:00:00,0.0,20.44,76.04,0.0,55.6
2026-08-24T23:00:00,0.0,34.57,37.64,0.0,3.07
2026-08-25T00:00:00,0.0,18.98,35.28,0.0,16.3
2026-08-25T01:00:00,0.0,10.76,35.88,0.0,25.12
2026-08-25T02:00:00,0.0,13.21,37.17,0.0,23.96
2026-08-25T03:00:00,0.0,11.37,40.28,0.0,28.91
2026-08-25T04:00:00,0.0,25.61,35.86,0.0,10.26
2026-08-25T05:00:00,0.0,16.85,37.07,0.0,20.22
2026-08-25T06:00:00,6.2,12.23,35.71,0.0,17.28
2026-08-25T07:00:00,16.47,19.56,59.34,0.0,23.31
2026-08-25T08:00:00,36.66,13.77,69.82,0.0,19.39
2026-08-25T09:00:00,68.3,8.02,79.59,0.0,3.27
2026-08-25T10:00:00,106.52,11.9,81.8,18.3,0.0
2026-08-25T11:00:00,139.07,19.25,80.4,43.3,0.0
2026-08-25T12:00:00,152.0,7.07,91.13,68.3,0.0
2026-08-25T13:00:00,139.07,14.71,80.19,93.3,0.0
2026-08-25T14:00:00,106.52,14.93,78.57,100.0,0.0
2026-08-25T15:00:00,68.3,14.71,91.51,95.7,0.0
2026-08-25T16:00:00,36.66,19.77,87.67,80.1,0.0
2026-08-25T17:00:00,16.47,10.67,122.33,55.1,45.19
2026-08-25T18:00:00,6.2,9.25,130.44,30.1,65.0
2026-08-25T19:00:00,0.0,14.77,130.58,5.1,65.81
2026-08-25T20:00:00,0.0,18.73,119.46,0.0,90.47
2026-08-25T21:00:00,0.0,30.38,86.21,0.0,55.82
2026-08-25T22:00:00,0.0,31.38,83.92,0.0,52.54
2026-08-25T23:00:00,0.0,30.55,39.46,0.0,8.91
2026-08-26T00:00:00,0.0,15.59,37.96,0.0,22.37
2026-08-26T01:00:00,0.0,28.44,40.98,0.0,12.54
2026-08-26T02:00:00,0.0,29.87,37.83,0.0,7.96
2026-08-26T03:00:00,0.0,15.44,38.64,0.0,23.2
2026-08-26T04:00:00,0.0,19.08,39.88,0.0,20.8
2026-08-26T05:00:00,0.0,28.25,37.09,0.0,8.84
2026-08-26T06:00:00,6.2,21.45,35.45,0.0,7.8
2026-08-26T07:00:00,16.47,8.26,54.74,0.0,30.0
2026-08-26T08:00:00,36.66,11.83,69.81,0.0,21.32
2026-08-26T09:00:00,68.3,21.62,86.5,1.7,0.0
2026-08-26T10:00:00,106.52,6.75,90.57,13.1,0.0
2026-08-26T11:00:00,139.07,11.92,86.95,38.1,0.0
2026-08-26T12:00:00,152.0,19.34,79.83,63.1,0.0
2026-08-26T13:00:00,139.07,12.59,87.88,88.1,0.0
2026-08-26T14:00:00,106.52,9.73,90.29,100.0,0.0
2026-08-26T15:00:00,68.3,13.28,86.85,97.4,0.0
2026-08-26T16:00:00,36.66,8.03,91.07,74.2,0.0
2026-08-26T17:00:00,16.47,17.63,124.26,49.2,40.16
2026-08-26T18:00:00,6.2,17.96,116.7,24.2,42.54
2026-08-26T19:00:00,0.0,9.12,134.86,0.0,77.39
2026-08-26T20:00:00,0.0,11.42,126.82,0.0,115.4
2026-08-26T21:00:00,0.0,22.01,81.99,0.0,59.99
2026-08-26T22:00:00,0.0,25.55,81.23,0.0,55.68
2026-08-26T23:00:00,0.0,22.23,40.66,0.0,18.43
2026-08-27T00:00:00,0.0,24.03,35.76,0.0,11.73
2026-08-27T01:00:00,0.0,11.1,40.86,0.0,29.77
2026-08-27T02:00:00,0.0,26.47,38.16,0.0,11.69
2026-08-27T03:00:00,0.0,33.34,37.6,0.0,4.26
2026-08-27T04:00:00,0.0,31.84,39.98,0.0,8.14
2026-08-27T05:00:00,0.0,15.86,36.49,0.0,20.63
